mode,consumed_eps,cache_hits,n_answered,mean_abs_error,p95_abs_error,mean_eps_per_query,wall_time_sec,alpha,trial,k,total_eps
predictive_dp,10.0,59,63,6.317460317460317,13.0,0.15873015873015872,0.09835280000697821,0.5,25,100,10.0
naive_dp,9.99999999999998,0,100,7.91,23.049999999999997,0.09999999999999998,0.12290029996074736,0.5,26,100,10.0
workload_dp,0.7,93,100,9.03,22.0,0.006999999999999999,0.08884310000576079,0.5,26,100,10.0
predictive_dp,10.0,69,74,5.9324324324324325,15.0,0.13513513513513511,0.09875979996286333,0.5,26,100,10.0
naive_dp,9.99999999999998,0,100,10.04,27.0,0.09999999999999998,0.12143990001641214,0.5,27,100,10.0
workload_dp,0.7,93,100,9.87,27.0,0.006999999999999999,0.09306520002428442,0.5,27,100,10.0
predictive_dp,10.0,76,81,6.814814814814815,25.0,0.12345679012345678,0.09941799996886402,0.5,27,100,10.0
naive_dp,9.99999999999998,0,100,10.48,25.14999999999999,0.09999999999999998,0.12076260009780526,0.5,28,100,10.0
workload_dp,0.7,93,100,16.88,40.0,0.007000000000000001,0.08729799999855459,0.5,28,100,10.0
predictive_dp,10.0,62,66,21.939393939393938,40.0,0.1515151515151515,0.10036190005484968,0.5,28,100,10.0
naive_dp,9.99999999999998,0,100,9.94,29.049999999999997,0.09999999999999998,0.1223562000086531,0.5,29,100,10.0
workload_dp,0.7,93,100,2.95,14.0,0.006999999999999999,0.09012209996581078,0.5,29,100,10.0
predictive_dp,10.0,82,88,1.2613636363636365,5.0,0.11363636363636363,0.09928250010125339,0.5,29,100,10.0
naive_dp,9.99999999999998,0,100,9.67,27.049999999999997,0.09999999999999998,0.12508789997082204,1.0,0,100,10.0
workload_dp,0.7,93,100,14.89,25.0,0.006999999999999999,0.09160510008223355,1.0,0,100,10.0
predictive_dp,10.0,76,80,14.4625,23.0,0.125,0.09957570000551641,1.0,0,100,10.0
naive_dp,9.99999999999998,0,100,9.83,31.099999999999994,0.09999999999999998,0.12212549999821931,1.0,1,100,10.0
workload_dp,0.7,93,100,8.2,15.0,0.007000000000000001,0.08904999995138496,1.0,1,100,10.0
predictive_dp,10.0,57,61,9.098360655737705,15.0,0.16393442622950816,0.10224070004187524,1.0,1,100,10.0
naive_dp,9.99999999999998,0,100,9.9,22.249999999999986,0.09999999999999998,0.122754400013946,1.0,2,100,10.0
workload_dp,0.7,93,100,8.31,18.0,0.006999999999999999,0.08953689993359149,1.0,2,100,10.0
predictive_dp,10.0,86,92,8.75,18.0,0.10869565217391304,0.10113049997016788,1.0,2,100,10.0
naive_dp,9.99999999999998,0,100,7.89,29.099999999999994,0.09999999999999998,0.1280411999905482,1.0,3,100,10.0
workload_dp,0.7,93,100,5.46,21.0,0.006999999999999999,0.09329679992515594,1.0,3,100,10.0
predictive_dp,10.0,45,49,4.653061224489796,13.0,0.2040816326530612,0.09788579994346946,1.0,3,100,10.0
naive_dp,9.99999999999998,0,100,10.21,29.0,0.09999999999999998,0.12144379992969334,1.0,4,100,10.0
workload_dp,0.7,93,100,11.24,28.0,0.007000000000000001,0.08949449995998293,1.0,4,100,10.0
predictive_dp,10.0,59,63,6.063492063492063,11.0,0.1587301587301587,0.09986999991815537,1.0,4,100,10.0
naive_dp,9.99999999999998,0,100,12.16,38.099999999999994,0.09999999999999998,0.12210869998671114,1.0,5,100,10.0
workload_dp,0.7,93,100,10.54,22.0,0.007000000000000001,0.08981319994200021,1.0,5,100,10.0
predictive_dp,10.0,74,78,8.282051282051283,22.0,0.1282051282051282,0.0999986999668181,1.0,5,100,10.0
naive_dp,9.99999999999998,0,100,9.6,28.249999999999986,0.09999999999999998,0.1248089000582695,1.0,6,100,10.0
workload_dp,0.7,93,100,7.5,19.0,0.007000000000000001,0.09251769992988557,1.0,6,100,10.0
predictive_dp,10.0,84,89,7.202247191011236,19.0,0.11235955056179774,0.10171989991795272,1.0,6,100,10.0
naive_dp,9.99999999999998,0,100,10.17,33.05,0.09999999999999998,0.12425190000794828,1.0,7,100,10.0
workload_dp,0.7,93,100,18.27,25.0,0.007000000000000001,0.09112549992278218,1.0,7,100,10.0
predictive_dp,10.0,69,73,21.534246575342465,25.0,0.13698630136986298,0.09934990003239363,1.0,7,100,10.0
naive_dp,9.99999999999998,0,100,12.47,42.05,0.09999999999999998,0.12323059991467744,1.0,8,100,10.0
workload_dp,0.7,93,100,8.73,35.0,0.007000000000000001,0.09034589992370456,1.0,8,100,10.0
predictive_dp,10.0,71,75,10.253333333333334,35.0,0.1333333333333333,0.09877810010220855,1.0,8,100,10.0
naive_dp,9.99999999999998,0,100,8.51,22.0,0.09999999999999998,0.12738269998226315,1.0,9,100,10.0
workload_dp,0.7,93,100,5.14,22.0,0.007000000000000001,0.09370869991835207,1.0,9,100,10.0
predictive_dp,10.0,85,90,4.488888888888889,22.0,0.1111111111111111,0.10012359998654574,1.0,9,100,10.0
naive_dp,9.99999999999998,0,100,11.78,39.05,0.09999999999999998,0.12287469999864697,1.0,10,100,10.0
workload_dp,0.7,93,100,9.93,39.0,0.007000000000000001,0.09046069998294115,1.0,10,100,10.0
predictive_dp,10.0,59,63,9.761904761904763,39.0,0.15873015873015872,0.10027240007184446,1.0,10,100,10.0
naive_dp,9.99999999999998,0,100,9.65,31.099999999999994,0.09999999999999998,0.1250624000094831,1.0,11,100,10.0
workload_dp,0.7,93,100,6.08,18.0,0.006999999999999999,0.09045919997151941,1.0,11,100,10.0
predictive_dp,10.0,72,77,5.428571428571429,18.0,0.12987012987012986,0.09936900006141514,1.0,11,100,10.0
naive_dp,9.99999999999998,0,100,9.63,25.14999999999999,0.09999999999999998,0.1217693000799045,1.0,12,100,10.0
workload_dp,0.7,93,100,9.83,16.0,0.006999999999999999,0.09215759998187423,1.0,12,100,10.0
predictive_dp,10.0,81,85,9.435294117647059,16.0,0.1176470588235294,0.10077340004500002,1.0,12,100,10.0
naive_dp,9.99999999999998,0,100,9.03,26.0,0.09999999999999998,0.12414039997383952,1.0,13,100,10.0
workload_dp,0.7,93,100,4.63,11.0,0.006999999999999999,0.09038650000002235,1.0,13,100,10.0
predictive_dp,10.0,86,92,4.554347826086956,11.0,0.10869565217391304,0.10400110005866736,1.0,13,100,10.0
naive_dp,9.99999999999998,0,100,8.39,33.05,0.09999999999999998,0.12492380000185221,1.0,14,100,10.0
workload_dp,0.7,93,100,8.42,20.0,0.007000000000000001,0.09004089992959052,1.0,14,100,10.0
predictive_dp,10.0,84,90,7.177777777777778,20.0,0.11111111111111109,0.10035809990949929,1.0,14,100,10.0
naive_dp,9.99999999999998,0,100,9.38,24.249999999999986,0.09999999999999998,0.12450749997515231,1.0,15,100,10.0
workload_dp,0.7,93,100,4.33,8.0,0.007000000000000001,0.09481690009124577,1.0,15,100,10.0
predictive_dp,10.0,74,78,2.9615384615384617,4.0,0.1282051282051282,0.09901579993311316,1.0,15,100,10.0
naive_dp,9.99999999999998,0,100,9.93,28.249999999999986,0.09999999999999998,0.12542719999328256,1.0,16,100,10.0
workload_dp,0.7,93,100,23.12,47.0,0.006999999999999999,0.08983499999158084,1.0,16,100,10.0
predictive_dp,10.0,80,85,24.4,47.0,0.11764705882352941,0.12228329991921782,1.0,16,100,10.0
naive_dp,9.99999999999998,0,100,9.74,30.099999999999994,0.09999999999999998,0.12632949999533594,1.0,17,100,10.0
workload_dp,0.7,93,100,3.23,5.34999999999998,0.006999999999999999,0.09272299997974187,1.0,17,100,10.0
predictive_dp,10.0,85,90,2.7111111111111112,5.0,0.1111111111111111,0.10359329998027533,1.0,17,100,10.0
naive_dp,9.99999999999998,0,100,9.32,26.099999999999994,0.09999999999999998,0.13095609995070845,1.0,18,100,10.0
workload_dp,0.7,93,100,8.52,42.0,0.007000000000000001,0.09937760001048446,1.0,18,100,10.0
predictive_dp,10.0,81,86,9.0,42.0,0.11627906976744186,0.10220000008121133,1.0,18,100,10.0
naive_dp,9.99999999999998,0,100,8.03,23.099999999999994,0.09999999999999998,0.12603459996171296,1.0,19,100,10.0
workload_dp,0.7,93,100,4.1,7.0,0.007000000000000001,0.09242800006177276,1.0,19,100,10.0
predictive_dp,10.0,85,90,3.966666666666667,7.0,0.1111111111111111,0.10198799998033792,1.0,19,100,10.0
naive_dp,9.99999999999998,0,100,10.9,25.34999999999998,0.09999999999999998,0.12279549997765571,1.0,20,100,10.0
